id_point,datetime,VWC,total_biomass,IBA,Sigma0_RATIO_VH_VV,Gamma0_RATIO_VH_VV,PC4,Alpha
O2-14,2025-03-17 17:21:00,61.23834500000001,244.95338,586.0128708133973,0.8090891022250094,0.8017774769626352,0.17618532226892744,34.785976
O2-19,2025-03-17 17:10:00,212.138345,848.55338,1499.210918727915,0.8091126134198635,0.8017984553984945,-0.16970078628354077,21.707384
O2-21,2025-03-17 16:54:00,167.538345,670.1533799999999,1218.460690909091,0.8091122422699222,0.8017976855824679,-0.07121724836463093,18.653856
G1-4,2025-04-10 14:24:00,230.638345,922.55338,766.2403488372092,0.8081948752149988,0.8008926310760146,-0.5488775826534605,28.75253
G1-8,2025-04-10 14:32:00,183.738345,734.9533799999999,679.2545101663585,0.8081954293992928,0.8008932932624753,-0.3432751202886415,26.713829
G1-12,2025-04-10 14:38:00,209.738345,838.9533799999998,672.2382852564101,0.8081962329630231,0.8008956096184284,-0.4861092819383552,21.840303
G1-18,2025-04-10 14:43:00,360.8766899999999,1443.50676,1718.460428571428,0.8082053978973157,0.8009179469377236,-0.5142661528486896,37.1983
G1-22,2025-04-10 14:59:00,297.57669,1190.30676,1122.930905660377,0.8082060678760525,0.8009185500941527,-0.2280783997703664,37.126827
G2-4,2025-04-10 14:18:00,182.538345,730.1533799999999,1629.806651785714,0.8082368840274735,0.8009848115550562,-0.46454599646302874,19.034533
G2-8,2025-04-10 14:28:00,546.27669,2185.10676,2150.69562992126,0.8082381515090182,0.8009856704888006,-0.4637062095317745,17.564579
G2-12,2025-04-10 14:38:00,216.038345,864.15338,3375.599140625,0.808237133132893,0.8009823069920247,-0.4479240566498661,17.728714
G2-18,2025-04-10 14:46:00,319.638345,1278.55338,2333.126605839416,0.8082478826557035,0.8010075690434411,-0.3033276477606564,33.307827
G2-22,2025-04-10 14:54:00,392.0383449999999,1568.15338,1960.191725,0.8082466380937573,0.8010057657798862,-0.30214083670247377,22.878595
Y1-4,2025-04-10 10:36:00,73.13834500000002,292.5533800000001,1001.895136986302,0.8085690375475706,0.8012623221989241,-0.5523063186264193,18.81026
Y1-8,2025-04-10 11:06:00,166.638345,666.55338,930.9404748603351,0.8085879353490183,0.8012738057488857,-0.22532405282145773,24.917522
Y1-12,2025-04-10 11:30:00,345.438345,1381.75338,2037.984336283186,0.8086037188985032,0.8012832374236292,0.26352546640186875,33.733906
Y1-18,2025-04-10 11:44:00,300.5383449999999,1202.15338,2058.481815068493,0.8085739507515086,0.8012622608191916,0.0907721917325039,36.660374
Y1-22,2025-04-10 11:55:00,246.238345,984.9533799999998,1289.205994764398,0.8085929904281471,0.801272265891614,-0.18235595304737565,35.06336
Y2-4,2025-04-10 16:35:00,211.338345,845.35338,1732.281516393443,0.8089234419818409,0.8015633375349601,-0.1899909720033917,16.34746
Y2-8,2025-04-10 16:31:00,168.538345,674.15338,1702.407525252525,0.8089243088687202,0.8015633144562158,-0.4381414157563029,15.3936
Y2-12,2025-04-10 16:28:00,96.43834500000001,385.75338,845.9503947368422,0.8089307175718459,0.8015760496190499,-0.23602488950681785,22.19348
Y2-18,2025-04-10 16:23:00,105.438345,421.75338,1226.02726744186,0.8089261334908627,0.801565835991889,-0.18027802134582924,19.663752
Y2-22,2025-04-10 16:18:00,241.838345,967.3533799999999,1934.70676,0.8089274113393684,0.8015656942670245,-0.8223561693833011,19.179705
O1-4,2025-04-10 15:02:00,118.638345,474.5533800000001,1073.650180995475,0.8092727088912112,0.8019068099578771,0.38794852696508764,21.925655
O1-8,2025-04-10 14:54:00,210.138345,840.55338,1616.448807692308,0.8092747259271782,0.8019096197289356,0.2435231914134131,16.013334
O1-12,2025-04-10 14:43:00,47.23834500000001,188.95338,660.6761538461539,0.8092748065921023,0.8019127264559269,0.2825482635300963,25.275087
O1-18,2025-04-10 14:30:00,137.738345,550.9533800000002,1263.654541284404,0.8092872590690751,0.8019416886069166,0.37965693063745826,34.46793
O1-22,2025-04-10 14:16:00,58.73834499999999,234.95338,857.4940875912408,0.8092876251108373,0.8019435819526881,0.28648230890669235,31.737972
O2-4,2025-04-10 16:03:00,72.33834500000002,289.3533800000001,1056.034233576643,0.809236505898024,0.8018716945274502,0.15754516247046454,27.672407
O2-8,2025-04-10 15:55:00,198.738345,794.95338,988.7479850746269,0.8092528581339509,0.8018832424100062,0.8637451292958741,33.044495
O2-12,2025-04-10 15:46:00,134.338345,537.3533799999999,1414.087842105263,0.8092564434105086,0.8018819755729938,0.5674732692209593,21.313595
O2-18,2025-04-10 15:39:00,142.038345,568.1533800000001,2088.799191176471,0.8092241948034989,0.8018579126788143,0.20206531449132395,19.110212
O2-22,2025-04-10 15:20:00,137.038345,548.1533800000001,1621.755562130178,0.8092209308006545,0.8018553794245155,0.0628037135818389,24.139584
G1-3,2025-05-27 11:09:00,305.619,1222.476,3414.737430167598,0.8082868840476212,0.8041486400949164,-1.6407902915013088,28.504164
G1-10,2025-05-27 11:17:00,303.519,1214.076,3993.671052631579,0.8082767647006104,0.804144473199705,-1.0300070790220126,36.32523
G1-15,2025-05-27 11:35:00,351.319,1405.276,4845.779310344828,0.8083163474074769,0.8041649641505448,-1.5159765191906898,36.8172
G1-20,2025-05-27 11:23:00,328.419,1313.676,4224.038585209004,0.8082946841384424,0.8041564956001448,-1.6200019960788807,18.545052
G1-24,2025-05-27 11:29:00,420.419,1681.676,5338.653968253969,0.8083314374463068,0.8041717811112101,-1.6587795312947864,29.304571
G2-3,2025-05-27 12:01:00,380.2190000000001,1520.876,5632.874074074074,0.808347441090498,0.8041733118452755,-1.0686554062533082,29.192835
G2-10,2025-05-27 12:10:00,370.119,1480.476,2653.182795698925,0.8083387529522661,0.8041703563953685,-1.3794455559704675,21.32592
G2-15,2025-05-27 11:53:00,425.7190000000001,1702.876,5129.144578313253,0.808386451493463,0.8041868224660946,-1.7415141818833157,38.864296
G2-20,2025-05-27 11:41:00,449.4190000000001,1797.676,4030.663677130045,0.8083538052058304,0.8041779854349839,-1.487963829847324,29.047874
G2-24,2025-05-27 11:48:00,314.419,1257.676,3743.083333333333,0.8083898080215245,0.8041908356613607,-1.4397259540906882,21.812748
Y1-3,2025-05-27 16:16:00,232.7190000000001,930.8760000000002,1769.726235741445,0.8087241206897314,0.8046205509451894,-1.612500106610244,32.29581
Y1-10,2025-05-27 16:27:00,186.1190000000001,744.4760000000002,1531.843621399177,0.8087374091817049,0.8046393241435618,-1.6324826166459219,22.784906
Y1-15,2025-05-27 17:03:00,114.919,459.676,1517.082508250825,0.8087021617747531,0.8045847727657955,-1.7173234863922793,33.01985
Y1-20,2025-05-27 16:36:00,306.119,1224.476,5886.903846153845,0.8087315991472384,0.8046313893360089,-1.225470721154796,21.541384
Y1-24,2025-05-27 16:53:00,150.619,602.4759999999999,1836.817073170732,0.8087073990169397,0.8045923152945655,-1.154998334906917,26.119589
Y2-3,2025-05-26 12:36:00,246.819,987.2760000000001,3404.400000000001,0.8090995773652034,0.804915552325215,-1.363465629039319,13.9322405
Y2-10,2025-05-26 12:48:00,239.419,957.6760000000002,2394.19,0.8091248519425855,0.8049385292614132,-1.8518991513986243,28.882046
Y2-15,2025-05-26 11:19:00,299.0189999999999,1196.076,5641.867924528301,0.8090478551155545,0.804872145398976,-0.9534528263949807,25.611092
Y2-20,2025-05-26 12:58:00,141.819,567.276,2287.403225806451,0.809113600801199,0.8049283919299023,-1.106120669517063,25.96008
Y2-24,2025-05-26 13:10:00,118.819,475.276,1650.263888888888,0.8090717730048157,0.804888330158495,-0.8054237911234909,27.20076
O1-3,2025-05-27 09:02:00,254.319,1017.276,2481.160975609756,0.8092747235795695,0.805188916459715,-1.0681244077799321,20.613104
O1-10,2025-05-27 09:12:00,204.819,819.2760000000001,2805.739726027398,0.8092659559479641,0.8051798788484953,-0.6631165391229911,30.906898
O1-15,2025-05-27 08:51:00,346.119,1384.476,3586.725388601037,0.8093715127531427,0.80522620153426,-0.7200898090647105,37.58956
O1-20,2025-05-27 08:27:00,283.5189999999999,1134.076,3098.568306010929,0.8093017292330977,0.8052031645103744,-1.08045465493196,17.615046
O1-24,2025-05-27 08:40:00,199.919,799.6759999999999,3807.980952380952,0.8093951026192847,0.805238770350782,-0.8070907585076953,26.901728
O2-3,2025-05-27 09:27:00,231.0189999999999,924.0759999999998,3882.672268907562,0.8092640334346474,0.805177804606905,-1.0307361494213587,21.59946
O2-10,2025-05-27 09:37:00,489.019,1956.076,13040.50666666667,0.8093151172093228,0.8051977966981956,-0.6004322722238663,34.246323
O2-15,2025-05-27 10:12:00,372.419,1489.676,3281.224669603525,0.8092539945175237,0.8051356801912957,-1.0646432648567217,22.608528
O2-20,2025-05-27 09:48:00,399.419,1597.676,4931.098765432099,0.8092660859513254,0.8051764906445575,-0.9051416355153026,14.399953
O2-24,2025-05-27 10:00:00,241.719,966.8759999999999,7215.492537313431,0.8092524947630821,0.805135233093824,-0.840458375443845,16.650026
G1-2,2025-06-19 10:24:00,310.3190000000001,1241.276,1909.655384615385,0.8081140382869041,0.8008039814758149,-0.5116778822264081,29.145222
